model,horizon,season,crps,wql,mae,mase,n,skill_vs_clim
climatology,1,NEM,114.46085940393135,0.38118072328780284,138.24145528013827,0.91827674635338,225.0,0.0
climatology,1,SWM,208.78622919595358,0.5271608915927326,254.99007644457504,1.7115585847560357,305.0,0.0
climatology,1,inter,19.573636780190963,0.3605913871273063,24.492949196520794,0.16412695301817815,360.0,0.0
climatology,4,NEM,117.41297170505689,0.3747436605714096,141.40673615237102,0.9393785630673257,225.0,0.0
climatology,4,SWM,186.95729232952712,0.508170489600258,224.8587926883766,1.5143491331131533,304.0,0.0
climatology,4,inter,20.536175355113542,0.37381824720716345,25.34377560288623,0.16934670284664866,361.0,0.0
climatology,8,NEM,117.08623752902672,0.3750420392074713,141.01978277430362,0.9386291622009023,227.0,0.0
climatology,8,SWM,188.2948784069748,0.5099403279778401,226.4175891955889,1.5274137051660737,302.0,0.0
climatology,8,inter,20.650843983555067,0.3771588387103042,25.448499066177412,0.16961460044735113,361.0,0.0
climatology,13,NEM,113.65985460420342,0.3816597998644864,136.85638420431184,0.9157805670654131,231.0,0.0
climatology,13,SWM,214.90500996264046,0.5348841142805785,262.0741053084803,1.7634703012721435,296.0,0.0
climatology,13,inter,19.821519533752504,0.3674615029951631,24.736938310474944,0.16468713982986036,363.0,0.0
persistence,1,NEM,98.30232975829065,0.32736914044919646,120.74567329156426,0.8020600172483582,225.0,0.1411707873747251
persistence,1,SWM,190.70560631334416,0.4815094263785073,224.80060674862165,1.5089191458107618,305.0,0.08659873283903263
persistence,1,inter,14.140205669370557,0.26049509520601133,16.831231702434675,0.11278587779278013,360.0,0.27758924781516237
persistence,4,NEM,163.4035979637161,0.52153064148043,192.99045788372172,1.282054193070179,225.0,-0.39169970396617115
persistence,4,SWM,241.05709167735662,0.6552196962896957,275.9686408773242,1.8585569507088873,304.0,-0.28936982705373326
persistence,4,inter,25.874616576313084,0.47099343711565694,30.585341205382175,0.20437076028961343,361.0,-0.2599530403732291
persistence,8,NEM,225.4889130287173,0.7222695300974307,242.33322412236046,1.6129724968833397,227.0,-0.9258361852546213
