model,horizon,crps,wql,mae,mase,n,skill_vs_clim
climatology,1,108.40449720395411,0.46406450208623234,132.24018254424044,0.8846814224483762,890.0,0.0
climatology,4,101.87246607304499,0.44846576834275054,122.83448494853023,0.8217576895254547,890.0,0.0
climatology,8,102.13324031017846,0.4496646509611516,123.11967504463463,0.8236655996253627,890.0,0.0
climatology,13,109.05901230703904,0.46822229779866914,132.77221183057148,0.8882406766535651,890.0,0.0
persistence,1,95.92551478894242,0.4106437224107373,114.3721404065259,0.765144950018958,890.0,0.11511498818663868
persistence,4,134.1437101076422,0.5905311252466944,155.45913261313135,1.0400152504838314,890.0,-0.31678082683752784
persistence,8,179.90032312463174,0.7920517919529284,198.63102317224931,1.3288334358099796,890.0,-0.761427744564598
persistence,13,241.42156892747258,1.0364935400582669,246.24998292393607,1.6474023324805553,890.0,-1.2136782996694202
seasonal_naive,1,152.08078885817164,0.6510366025273588,183.2912679699357,1.2262110997597957,890.0,-0.40290110448134087
seasonal_naive,4,150.09534013853153,0.6607538291222701,184.56462998061383,1.234729839625582,890.0,-0.473365139025
seasonal_naive,8,156.96397382962658,0.691069335421255,187.2486210619883,1.2526856303846785,890.0,-0.5368549294326439
seasonal_naive,13,179.79034010612207,0.7718926147019518,201.6255483595754,1.3488666870601798,890.0,-0.6485601354975574
timesfm_covariates,1,80.85881444972156,0.3461452839571345,101.30546178526876,0.678863314322102,890.0,0.25410092260662964
timesfm_covariates,4,95.61381707929502,0.4209137718321612,115.44180856264313,0.7735931251000873,890.0,0.0614361194443096
timesfm_covariates,8,100.70102034730375,0.4433589791960165,122.16628893882965,0.8186548913151023,890.0,0.014023054184172157
timesfm_covariates,13,109.2052008333269,0.46884992798018593,131.5668906845389,0.8816497540327836,890.0,-0.0013404534223755427
timesfm_univariate,1,83.23862599935426,0.3563329246023519,103.31558497663693,0.6923334556929629,890.0,0.23214785229114931
timesfm_univariate,4,96.34824845579445,0.424146905810882,116.25868803026438,0.7790671587110932,890.0,0.054226797781547265
timesfm_univariate,8,103.22891884367935,0.4544886230963351,124.29502551234353,0.8329198790082382,890.0,-0.010727932749154956
timesfm_univariate,13,111.2605587345052,0.4776741817390496,134.07592213878578,0.8984631555883563,890.0,-0.020186744597209705
