reservoir,week,q10,q20,q30,q40,q50,q60,q70,q80,q90
Parambikulam,2025-05-29,0.21364172,0.22880034,0.23775922,0.24539162,0.2512741,0.2561676,0.2642006,0.27512616,0.28775364
Parambikulam,2025-06-05,0.19692728,0.21747462,0.23043582,0.24101494,0.2495529,0.25725135,0.26783818,0.28089067,0.29535857
Parambikulam,2025-06-12,0.18245018,0.20992869,0.22826235,0.24145006,0.25217265,0.26167005,0.27367377,0.2876229,0.30425924
Parambikulam,2025-06-19,0.16822582,0.20214239,0.2277381,0.24360707,0.25696146,0.26814365,0.2812743,0.29657733,0.31544268
Parambikulam,2025-06-26,0.15892443,0.19773036,0.2286406,0.24914427,0.26375884,0.2758331,0.28993714,0.30546913,0.32504922
Parambikulam,2025-07-03,0.15544385,0.20067427,0.23885046,0.26368567,0.28049117,0.29360235,0.30712178,0.32271168,0.34142363
Parambikulam,2025-07-10,0.15734705,0.20754091,0.25012088,0.2790615,0.2974052,0.31235686,0.32623196,0.34198657,0.36089718
Parambikulam,2025-07-17,0.15674755,0.2140277,0.26025236,0.29209304,0.3110786,0.32609388,0.33969852,0.35476768,0.37299603
Parambikulam,2025-07-24,0.16755389,0.22839664,0.27674842,0.31100732,0.33048058,0.34524405,0.35844907,0.3732428,0.3904165
Parambikulam,2025-07-31,0.17693411,0.23994434,0.28771415,0.32467747,0.34498745,0.35956007,0.37300557,0.38802373,0.40560365
Parambikulam,2025-08-07,0.17939678,0.24313755,0.29155827,0.33127517,0.35277158,0.36846215,0.38236073,0.39748245,0.41501707
Aliyar,2025-05-15,0.030780815,0.031770192,0.032241806,0.032668814,0.033187438,0.033460997,0.03377945,0.034532223,0.03644625
Aliyar,2025-05-22,0.029157054,0.031844508,0.033411678,0.034886494,0.035749935,0.036459602,0.03811956,0.041142046,0.044895153
Aliyar,2025-05-29,0.027518252,0.031792812,0.033960927,0.036112633,0.03774952,0.039186906,0.04190561,0.04615363,0.051157307
Aliyar,2025-06-05,0.024968522,0.031168113,0.034883086,0.037563503,0.039667144,0.041811742,0.04576218,0.051397365,0.0578243
Aliyar,2025-06-12,0.022358865,0.030828103,0.036284447,0.0399293,0.043174226,0.046322178,0.051045857,0.05732717,0.06499715
Aliyar,2025-06-19,0.019566769,0.030259911,0.038193673,0.04284633,0.04773875,0.052451577,0.058192596,0.065221414,0.073911235
Aliyar,2025-06-26,0.021352718,0.033622876,0.04257205,0.048208125,0.053475466,0.058800817,0.06484224,0.07181223,0.080557525
Aliyar,2025-07-03,0.0256944,0.040040508,0.05027437,0.056413375,0.062103994,0.06747024,0.07303734,0.07988231,0.087702125
Aliyar,2025-07-10,0.030539382,0.047091506,0.058480486,0.06497852,0.07103442,0.07669464,0.08219269,0.08829704,0.09572001
Aliyar,2025-07-17,0.03538181,0.054592635,0.06644669,0.072798364,0.078025475,0.08291727,0.08742143,0.092104256,0.098092005
Aliyar,2025-07-24,0.039375808,0.060515687,0.072536156,0.07900741,0.0840973,0.08882961,0.092770986,0.09700234,0.10274786
Aliyar,2025-07-31,0.042752825,0.06442263,0.07608857,0.08257812,0.08769545,0.09198031,0.095873386,0.09977045,0.105123356
Aliyar,2025-08-07,0.04436125,0.06633475,0.0778229,0.08443417,0.08914165,0.093056306,0.09663673,0.100449026,0.1055495
Sholayar,2025-05-15,0.00049253553,0.00051959604,0.00052191317,0.00070258975,0.000858821,0.0009871125,0.0011739358,0.0031886473,0.009712864
Sholayar,2025-05-22,0.0,0.00027165562,0.0011738762,0.001993753,0.003002964,0.004175812,0.0080995,0.01713949,0.028202571
Sholayar,2025-05-29,0.0,0.003985785,0.006760709,0.00954986,0.011843778,0.014453072,0.021938011,0.034990158,0.046130713
Sholayar,2025-06-05,0.0,0.0,0.009403247,0.017261405,0.02945621,0.042781584,0.0563488,0.0720573,0.08501884
Sholayar,2025-06-12,0.0,0.0128714815,0.02700105,0.037033282,0.05182288,0.06739869,0.080902055,0.09372257,0.10556308
Sholayar,2025-06-19,0.0075363405,0.027225886,0.04529474,0.05718185,0.07350323,0.08954354,0.1005453,0.109081134,0.11738918
Sholayar,2025-06-26,0.021431468,0.04317172,0.062541,0.07647404,0.09340225,0.10941212,0.117927134,0.123336375,0.13053903
Sholayar,2025-07-03,0.045654505,0.06812654,0.0863877,0.09710484,0.10887356,0.11976348,0.12351732,0.12356889,0.124190986
Sholayar,2025-07-10,0.054009117,0.07885249,0.098979205,0.109428614,0.12073858,0.13080195,0.1322014,0.13232042,0.13376896
Sholayar,2025-07-17,0.0549554,0.08669247,0.10707993,0.117475286,0.12669343,0.13538331,0.13620183,0.13732523,0.137889
Sholayar,2025-07-24,0.06105286,0.09574763,0.11515729,0.122920826,0.12978312,0.13639227,0.14024767,0.14027604,0.14352503
Sholayar,2025-07-31,0.06649466,0.10272114,0.12053795,0.1269896,0.13200274,0.13650319,0.14086372,0.14187336,0.14647269
Sholayar,2025-08-07,0.070239745,0.107295424,0.12528643,0.13106394,0.1339003,0.13657697,0.140253,0.14296031,0.14843681
