reservoir,model,horizon,crps,wql,mae,n,skill_vs_clim
Aliyar,climatology,1,0.016586779135478208,0.3411978262819641,0.021428889110006632,147.0,0.0
Aliyar,climatology,4,0.018313947057672485,0.3745687159091719,0.023807415261731902,147.0,0.0
Aliyar,climatology,8,0.018733838358448662,0.38503158484764227,0.024480267506590495,147.0,0.0
Aliyar,climatology,13,0.017946267064106538,0.3686333550203049,0.02334128305071583,147.0,0.0
Aliyar,persistence,1,0.003350773846954914,0.06892698959848483,0.003933894260502522,147.0,0.7979852616601258
Aliyar,persistence,4,0.010442380177791716,0.2135743279104975,0.012334711620961775,147.0,0.42981269166566893
Aliyar,persistence,8,0.018838910424626085,0.3871911030088131,0.022501025300772425,147.0,-0.005608677953070851
Aliyar,persistence,13,0.02799794672276033,0.5751043934219267,0.03466045184503346,147.0,-0.5600986334789184
Aliyar,seasonal_naive,1,0.022278192250181555,0.4582728634153539,0.027714139245553573,147.0,-0.3431294929664632
Aliyar,seasonal_naive,4,0.022856984733013716,0.46748586713936774,0.02851360246783177,147.0,-0.24806436651993935
Aliyar,seasonal_naive,8,0.02300019983212031,0.4727169746919446,0.02893888174875837,147.0,-0.22773557623590723
Aliyar,seasonal_naive,13,0.023133463275031428,0.47518328741300303,0.02953738649922984,147.0,-0.2890404000116298
Aliyar,timesfm_covariates,1,0.0026198644078451404,0.053891839627758786,0.0031557710931684967,147.0,0.8420510464119345
Aliyar,timesfm_covariates,4,0.007798846003074555,0.15950705349020863,0.010072837211411285,147.0,0.5741581004621672
Aliyar,timesfm_covariates,8,0.013201404657003696,0.27132495007403784,0.017105472914283236,147.0,0.295317681064005
Aliyar,timesfm_covariates,13,0.01791605121192313,0.3680126927441124,0.023489649750899837,147.0,0.001683684527566176
Aliyar,timesfm_univariate,1,0.002642837972807987,0.0543644166340146,0.00320750574024221,147.0,0.8406659936072156
Aliyar,timesfm_univariate,4,0.007947903912031071,0.16255568246014757,0.010178363663674483,147.0,0.5660190625755163
Aliyar,timesfm_univariate,8,0.013302687239952142,0.27340658399677936,0.017317962607525106,147.0,0.2899112832393559
Aliyar,timesfm_univariate,13,0.017635462663920576,0.3622491377128083,0.023237344095951577,147.0,0.017318609997038714
Bhavanisagar,climatology,1,0.17099621268547233,0.28988425206158813,0.23521779996898834,147.0,0.0
Bhavanisagar,climatology,4,0.18805325384866375,0.3157057663798631,0.25627734512260325,147.0,0.0
Bhavanisagar,climatology,8,0.19655746081974698,0.3266156741354681,0.2677152518706528,147.0,0.0
Bhavanisagar,climatology,13,0.19407295171314565,0.32053517839184376,0.2678169502214656,147.0,0.0
Bhavanisagar,persistence,1,0.01668787383052462,0.028290403324650788,0.018187629984092415,147.0,0.9024079330855121
Bhavanisagar,persistence,4,0.05795464524385712,0.09729486364915141,0.06568422829070025,147.0,0.6918179076523917
Bhavanisagar,persistence,8,0.10530704201920435,0.1749866445001361,0.12325676638660461,147.0,0.46424296701830015
Bhavanisagar,persistence,13,0.15080549773170657,0.2490736946658658,0.17847304361039365,147.0,0.22294427739416056
Bhavanisagar,seasonal_naive,1,0.14952500041560113,0.2534848124953105,0.17218545499848936,147.0,0.1255654258808936
Bhavanisagar,seasonal_naive,4,0.152435452386801,0.2559102293330411,0.1772151032856502,147.0,0.18940273955869036
Bhavanisagar,seasonal_naive,8,0.1554630898626884,0.25832996461655344,0.18139286539079758,147.0,0.20907052210419108
Bhavanisagar,seasonal_naive,13,0.15782802318732328,0.2606722529904924,0.17838724886060064,147.0,0.18675929956171888
Bhavanisagar,timesfm_covariates,1,0.012677284836588892,0.02149138378746387,0.015194161042604855,147.0,0.9258621893579171
Bhavanisagar,timesfm_covariates,4,0.03935024255822005,0.06606159813684413,0.04929836550294137,147.0,0.7907494725409685
Bhavanisagar,timesfm_covariates,8,0.07150864378596229,0.1188245096332599,0.09100845925661982,147.0,0.6361947112679722
Bhavanisagar,timesfm_covariates,13,0.10000673881541695,0.16517334117722332,0.13143646075183843,147.0,0.48469512143436455
Bhavanisagar,timesfm_univariate,1,0.01262643690294269,0.021405182958905058,0.015048849854069228,147.0,0.9261595522810346
Bhavanisagar,timesfm_univariate,4,0.03997947284946457,0.06711795652076576,0.04995391419306904,147.0,0.7874034507180709
Bhavanisagar,timesfm_univariate,8,0.07341868567592884,0.12199838874686174,0.09191183592646031,147.0,0.6264772379042003
Bhavanisagar,timesfm_univariate,13,0.10494779177999701,0.17333409351012014,0.13629589035293685,147.0,0.4592353501423645
Mettur,climatology,1,0.6297241325324308,0.3695655139950961,0.8484258596141541,147.0,0.0
Mettur,climatology,4,0.6869319430660183,0.40168395865920253,0.9092293934924119,147.0,0.0
Mettur,climatology,8,0.7075260680885502,0.4098236040439386,0.9367636591718005,147.0,0.0
Mettur,climatology,13,0.7026056170394929,0.3981225074009009,0.9465167031245038,147.0,0.0
Mettur,persistence,1,0.07976152505704553,0.04680955910995153,0.08919541111736623,147.0,0.8733389417104198
Mettur,persistence,4,0.23974345616107726,0.14019016222130373,0.27243966750559473,147.0,0.6509938741660228
Mettur,persistence,8,0.3883671226390941,0.22495568866051727,0.43117934931840607,147.0,0.4510914294814532
Mettur,persistence,13,0.5272309027513831,0.29874866339251416,0.5783141985994249,147.0,0.24960619447802124
Mettur,seasonal_naive,1,0.743859451707556,0.4365479841226439,0.959747629137089,147.0,-0.18124653841060678
Mettur,seasonal_naive,4,0.7611226957501106,0.4450670558275168,0.9889443483482071,147.0,-0.10800306119548453
Mettur,seasonal_naive,8,0.7734386109797586,0.44800243178996446,0.9707361946218026,147.0,-0.093159172310467
Mettur,seasonal_naive,13,0.7930420523516315,0.4493671594698356,0.9767955940334204,147.0,-0.12871578751846968
Mettur,timesfm_covariates,1,0.06621833643663377,0.03886148279356985,0.07807332490847493,147.0,0.8948454838941343
Mettur,timesfm_covariates,4,0.21695484776772006,0.1268645067117909,0.26336461966540536,147.0,0.6841683518175404
Mettur,timesfm_covariates,8,0.3587708637672937,0.20781251044543475,0.4500315945321471,147.0,0.49292205623384633
Mettur,timesfm_covariates,13,0.47818036430277905,0.27095480168271674,0.6405099074909961,147.0,0.3194185291064917
Mettur,timesfm_univariate,1,0.06718979318005577,0.03943160055174274,0.07969535624034817,147.0,0.8933028135513046
Mettur,timesfm_univariate,4,0.21598450645525827,0.12629709891604837,0.2659066357791018,147.0,0.685580924521804
Mettur,timesfm_univariate,8,0.34947591172041953,0.202428552286046,0.4433826393394513,147.0,0.5060593135959466
Mettur,timesfm_univariate,13,0.4580175656019347,0.2595298090832787,0.6222315350734944,147.0,0.34811570745499765
Parambikulam,climatology,1,0.05916922777213253,0.24971892056339667,0.08118363604169081,147.0,0.0
Parambikulam,climatology,4,0.06419014681665887,0.2689965766726523,0.09017335486192098,147.0,0.0
