horizon,crps_zeroshot,crps_finetuned,median_rel_gain,ci_lo,ci_hi,folds,folds_improved,sign_p,jackknife_min,coverage_ft,gain_correct,gain_contaminated
1,0.01407651415334882,0.01390513562881299,0.015584789552814959,-5.7104876014302304e-05,0.0007113660646662334,7,4,0.5,0.005463496473449882,0.740990990990991,0.012174784372667835,0.029730127756836477
4,0.05367429974894692,0.05385559712480884,0.0173709466070931,-0.002656228764177868,0.0026012848221636676,7,5,0.2265625,0.015749038808965117,0.6441441441441441,-0.0033777315532743657,0.15884778064998262
8,0.08825430144007824,0.09062845981186567,0.003981189137379901,-0.010609248875072742,0.011254976115604401,7,4,0.5,-0.02837761722561364,0.536036036036036,-0.02690133322735999,0.29991944398644044
13,0.1262068048692753,0.134646528231592,0.05795416181125921,-0.023045482980672684,0.013369417452215608,7,4,0.5,-0.06770837441813829,0.5180180180180181,-0.06687217358096142,0.28635966888397946
