horizon,crps_zeroshot,crps_finetuned,median_rel_gain,ci_lo,ci_hi,folds,folds_improved,sign_p,jackknife_min,coverage_ft,gain_correct,gain_contaminated
1,0.01344485615538778,0.013541898228925417,-0.024854474893574924,-0.0005531905899396705,0.00023125061327890887,7,2,0.9375,-0.02762388052381738,0.7319819819819819,-0.0072177844386047685,0.015657948973719527
4,0.052153062347553895,0.05507661913565217,-0.006969772765288094,-0.007847990941016247,0.0003777053780453599,7,2,0.9375,-0.007347048950132289,0.6238738738738738,-0.056057241061231666,0.0705458790986746
8,0.08417233300796427,0.09048052660291121,-0.01855202235168852,-0.018217556037376983,0.004092327966311898,7,3,0.7734375,-0.031091518806892336,0.5180180180180181,-0.07494378936069257,0.16306284416892614
13,0.11192218820005449,0.1212390682526571,-0.02276122430301489,-0.028283368447808387,0.011411305328994667,7,3,0.7734375,-0.034849073803877355,0.5495495495495496,-0.08324426284401465,0.16151545896207165
