horizon,crps_zeroshot,crps_finetuned,median_rel_gain,ci_lo,ci_hi,folds,folds_improved,sign_p,jackknife_min,coverage_ft,gain_correct,gain_contaminated
1,82.34731786412168,82.12290849044928,-0.013218047877715453,-2.183852020942961,3.4323326461037906,25,10,0.885238528251648,-0.018771610812040807,0.7484076433121019,0.0027251570481346965,0.025972774713637126
4,86.5058579465728,93.54140183471758,-0.05731300295969539,-18.35983524047734,0.3883606691278749,25,11,0.787821888923645,-0.07035212330077567,0.7515923566878981,-0.08133025965120222,0.07140755464745185
8,99.28230432628602,112.2609929191071,-0.062424504989441444,-35.065524170665206,-0.24478690107405843,25,10,0.885238528251648,-0.06586340919418728,0.7420382165605095,-0.1307250942742757,0.087558938743164
13,112.55745813743091,124.13880279888278,-0.07143244557239753,-25.77777775603771,-1.8028452333947642,25,5,0.9995447397232056,-0.07512193394376859,0.7165605095541401,-0.10289273454728542,0.058599492384792784
